rank,stress_cap,state_cap,override_scale,min_median_terminal,min_pass_rate_terminal,avg_full_terminal,avg_full_sharpe,worst_fold_maxdd,worst_stress_maxdd,full_candidate_maxdd
21,0.3,0.3,1.0,1.8350321363048376,1.0,30.814052652064255,1.030223690282001,-0.1183221072096029,-0.2803882127598999,-0.28007104421731066
22,0.14,0.3,1.0,1.8350321363048376,1.0,30.652872787029043,1.0499783866833932,-0.0961640486902644,-0.22549466474687874,-0.26852152111364114
23,0.12,0.3,1.0,1.8350321363048376,1.0,30.45394326613635,1.05852536043654,-0.08301610231039902,-0.19645453860621476,-0.26852152111364114
24,0.1,0.3,1.0,1.8350321363048376,1.0,30.246628362500882,1.0655920885449621,-0.06970054883601451,-0.16644668600514145,-0.26852152111364114
25,0.2,0.24,1.1,1.8109967117472618,1.0,29.55090760949425,1.000624419479141,-0.12586168763166616,-0.2861859864791707,-0.2858285428149471
26,0.18,0.24,1.1,1.8109967117472618,1.0,29.533803498014787,1.004199731697574,-0.12200842496216202,-0.28077774394434374,-0.28465834886578834
27,0.24,0.24,1.1,1.8109967117472618,1.0,29.50147990134841,1.0000500300300372,-0.12586168763166616,-0.28744975138345874,-0.2870928751733889
28,0.3,0.24,1.1,1.8109967117472618,1.0,29.50147990134841,1.0000500300300372,-0.12586168763166616,-0.28744975138345874,-0.2870928751733889
29,0.16,0.24,1.1,1.8109967117472618,1.0,29.36085376751143,1.0147010681916655,-0.10919095596628459,-0.2535937046373705,-0.28465834886578834
30,0.14,0.24,1.1,1.8109967117472618,1.0,29.17961791063748,1.024042432062241,-0.09620945220561361,-0.22549466474687874,-0.28465834886578834
31,0.12,0.24,1.1,1.8109967117472618,1.0,28.990244403584903,1.0320912418618218,-0.08306213879589541,-0.19645453860621476,-0.28465834886578834
32,0.1,0.24,1.1,1.8109967117472618,1.0,28.79288860418032,1.0387231459027149,-0.06974722594572258,-0.16644668600514145,-0.28465834886578834
33,0.18,0.24,1.05,1.7921372736356969,1.0,28.05646014901268,1.008964999983617,-0.12198634484573134,-0.28077774394434374,-0.28041762506757095
34,0.2,0.24,1.05,1.7921372736356969,1.0,28.03404054209809,1.0085901658230276,-0.12208396749519335,-0.28153452185653316,-0.2811747489629479
35,0.24,0.24,1.05,1.7921372736356969,1.0,27.98714416339763,1.0079980753389877,-0.12208396749519335,-0.28280652234150006,-0.2824473206000213
36,0.3,0.24,1.05,1.7921372736356969,1.0,27.98714416339763,1.0079980753389877,-0.12208396749519335,-0.28280652234150006,-0.2824473206000213
37,0.16,0.24,1.05,1.7921372736356969,1.0,27.892158108183686,1.0200402579811012,-0.10916856690477061,-0.2535937046373705,-0.27643869998416704
38,0.14,0.24,1.05,1.7921372736356969,1.0,27.719984475226227,1.029918465224775,-0.09618675044793856,-0.22549466474687874,-0.27643869998416704
39,0.12,0.24,1.05,1.7921372736356969,1.0,27.54008030225139,1.0384550555453589,-0.08303912055314744,-0.19645453860621476,-0.27643869998416704
40,0.1,0.24,1.05,1.7921372736356969,1.0,27.352593178693912,1.0455138185710182,-0.06972388739086866,-0.16644668600514145,-0.27643869998416704
41,0.18,0.3,0.9,1.7903205449824056,1.0,27.16793496005177,1.0379039954029101,-0.11075887615599356,-0.2678288947254627,-0.2675063373022978
42,0.2,0.3,0.9,1.7903205449824056,1.0,27.145253421861668,1.037599709081508,-0.11075887615599356,-0.26847622882624367,-0.26815393219382544
43,0.16,0.3,0.9,1.7903205449824056,1.0,27.12647182222014,1.0423580246058108,-0.1066652852456732,-0.25071758345343553,-0.25250248283653376
44,0.24,0.3,0.9,1.7903205449824056,1.0,27.099867492047053,1.0369753722378434,-0.11075887615599356,-0.26977134959262916,-0.2694495748402561
45,0.3,0.3,0.9,1.7903205449824056,1.0,27.031732096898338,1.035999557070797,-0.11075887615599356,-0.27171514455259993,-0.2713941533594487
46,0.14,0.3,0.9,1.7903205449824056,1.0,26.992420719620064,1.0512026888600412,-0.09611864517491497,-0.22549466474687874,-0.25250248283653376
47,0.12,0.3,0.9,1.7903205449824056,1.0,26.817251990737226,1.0606057366131885,-0.08297006582490285,-0.19645453860621476,-0.25250248283653376
48,0.1,0.3,0.9,1.7903205449824056,1.0,26.634699158407397,1.068424863966411,-0.06965387172630644,-0.16644668600514145,-0.25250248283653376
49,0.2,0.2,1.1,1.767933031463449,1.0,26.477907981838946,0.9836228669203454,-0.12586168763166616,-0.2861859864791707,-0.28579990971989855
50,0.24,0.2,1.1,1.767933031463449,1.0,26.477907981838946,0.9836228669203454,-0.12586168763166616,-0.2861859864791707,-0.28579990971989855
51,0.3,0.2,1.1,1.767933031463449,1.0,26.477907981838946,0.9836228669203454,-0.12586168763166616,-0.2861859864791707,-0.28579990971989855
52,0.18,0.2,1.1,1.767933031463449,1.0,26.462594325177765,0.98725022043367,-0.12200842496216213,-0.28077774394434374,-0.28465834886578834
53,0.16,0.2,1.1,1.767933031463449,1.0,26.307625894739328,0.9979125226635007,-0.10919095596628481,-0.2535937046373705,-0.28465834886578834
54,0.18,0.24,1.0,1.7702805203987464,1.0,26.296267463318863,1.0130644816195253,-0.11832210720960279,-0.27654824654814536,-0.27618600993677933
55,0.2,0.24,1.0,1.7702805203987464,1.0,26.27430451414069,1.0127669233091552,-0.11832210720960279,-0.27718787116745724,-0.2768259216806427
56,0.24,0.24,1.0,1.7702805203987464,1.0,26.230356536555966,1.0121568906264338,-0.11832210720960279,-0.278467567583668,-0.2781061927045996
57,0.3,0.24,1.0,1.7702805203987464,1.0,26.230356536555966,1.0121568906264338,-0.11832210720960279,-0.278467567583668,-0.2781061927045996
58,0.16,0.24,1.0,1.7702805203987464,1.0,26.18920741510225,1.0215079651251486,-0.10914617784325664,-0.2535937046373705,-0.26852152111364114
59,0.14,0.2,1.1,1.767933031463449,1.0,26.14523305421069,1.0074095390711117,-0.09620945220561361,-0.22549466474687874,-0.28465834886578834
