rank_wealth_viable,label,rerisk,hold,cap,derisk,terminal_wealth,max_drawdown,avg_daily_ret,vol_daily_ret,wealth_viable,error,is_valid
29,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineq3,0.3,0.05,0.1,0.0,1.0234178368142894,-0.0091848936058037,1.6515699375047888e-06,0.0001266089314626,True,,True
30,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineq3,0.3,0.05,0.15,0.0,1.0234178368142894,-0.0091848936058037,1.6515699375047888e-06,0.0001266089314626,True,,True
31,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineq3,0.4,0.05,0.05,0.0,1.0234178368142894,-0.0091848936058037,1.6515699375047888e-06,0.0001266089314626,True,,True
32,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineq3,0.4,0.05,0.1,0.0,1.0234178368142894,-0.0091848936058037,1.6515699375047888e-06,0.0001266089314626,True,,True
33,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineq3,0.4,0.05,0.15,0.0,1.0234178368142894,-0.0091848936058037,1.6515699375047888e-06,0.0001266089314626,True,,True
34,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineq3,0.5,0.05,0.05,0.0,1.0234178368142894,-0.0091848936058037,1.6515699375047888e-06,0.0001266089314626,True,,True
35,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineq3,0.5,0.05,0.1,0.0,1.0234178368142894,-0.0091848936058037,1.6515699375047888e-06,0.0001266089314626,True,,True
36,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineq3,0.5,0.05,0.15,0.0,1.0234178368142894,-0.0091848936058037,1.6515699375047888e-06,0.0001266089314626,True,,True
37,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_finespx,0.2,0.05,0.05,0.0,1.0124031696294822,-0.0082982047439836,8.824088616843195e-07,0.0001202733595034,True,,True
38,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_finespx,0.2,0.05,0.1,0.0,1.0124031696294822,-0.0082982047439836,8.824088616843195e-07,0.0001202733595034,True,,True
39,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_finespx,0.2,0.05,0.15,0.0,1.0124031696294822,-0.0082982047439836,8.824088616843195e-07,0.0001202733595034,True,,True
