rank,stress_cap,derisk_cap,panic_cap,override_scale,min_median_terminal,min_pass_rate_terminal,avg_full_terminal,avg_full_sharpe,worst_fold_maxdd,worst_stress_maxdd,full_candidate_maxdd,fold_margin,stress_margin,full_margin,min_margin,wealth_dd_ratio,robust_score
77,0.14,0.28,0.08,1.0,1.8132311934096221,1.0,29.030675319084867,1.04477876190032,-0.09616404869026485,-0.22549466474687874,-0.26852152111364114,0.12383595130973515,0.04050533525312128,0.0024784788863588814,0.0024784788863588814,108.11303019097221,83.30853856138283
78,0.14,0.28,0.1,1.0,1.8132311934096221,1.0,29.030675319084867,1.04477876190032,-0.09616404869026485,-0.22549466474687874,-0.26852152111364114,0.12383595130973515,0.04050533525312128,0.0024784788863588814,0.0024784788863588814,108.11303019097221,83.30853856138283
79,0.14,0.28,0.12,1.0,1.8132311934096221,1.0,29.030675319084867,1.04477876190032,-0.09616404869026485,-0.22549466474687874,-0.26852152111364114,0.12383595130973515,0.04050533525312128,0.0024784788863588814,0.0024784788863588814,108.11303019097221,83.30853856138283
80,0.14,0.28,0.14,1.0,1.8132311934096221,1.0,29.030675319084867,1.04477876190032,-0.09616404869026485,-0.22549466474687874,-0.26852152111364114,0.12383595130973515,0.04050533525312128,0.0024784788863588814,0.0024784788863588814,108.11303019097221,83.30853856138283
81,0.12,0.28,0.08,1.0,1.8132311934096221,1.0,28.8422714401298,1.0534965377078689,-0.08301610231039924,-0.19645453860621476,-0.26852152111364114,0.13698389768960076,0.06954546139378526,0.0024784788863588814,0.0024784788863588814,107.4113960047301,82.77106114446822
82,0.12,0.28,0.1,1.0,1.8132311934096221,1.0,28.8422714401298,1.0534965377078689,-0.08301610231039924,-0.19645453860621476,-0.26852152111364114,0.13698389768960076,0.06954546139378526,0.0024784788863588814,0.0024784788863588814,107.4113960047301,82.77106114446822
83,0.12,0.28,0.12,1.0,1.8132311934096221,1.0,28.8422714401298,1.0534965377078689,-0.08301610231039924,-0.19645453860621476,-0.26852152111364114,0.13698389768960076,0.06954546139378526,0.0024784788863588814,0.0024784788863588814,107.4113960047301,82.77106114446822
84,0.12,0.28,0.14,1.0,1.8132311934096221,1.0,28.8422714401298,1.0534965377078689,-0.08301610231039924,-0.19645453860621476,-0.26852152111364114,0.13698389768960076,0.06954546139378526,0.0024784788863588814,0.0024784788863588814,107.4113960047301,82.77106114446822
85,0.18,0.28,0.08,1.0,1.8132311934096221,1.0,29.3304015106179,1.0264942537894481,-0.11832210720960268,-0.27654824654814536,-0.27621502359811967,0.10167789279039732,-0.010548246548145346,-0.00521502359811965,-0.010548246548145346,106.18684359939923,82.57638092833467
86,0.18,0.28,0.1,1.0,1.8132311934096221,1.0,29.3304015106179,1.0264942537894481,-0.11832210720960268,-0.27654824654814536,-0.27621502359811967,0.10167789279039732,-0.010548246548145346,-0.00521502359811965,-0.010548246548145346,106.18684359939923,82.57638092833467
87,0.18,0.28,0.12,1.0,1.8132311934096221,1.0,29.3304015106179,1.0264942537894481,-0.11832210720960268,-0.27654824654814536,-0.27621502359811967,0.10167789279039732,-0.010548246548145346,-0.00521502359811965,-0.010548246548145346,106.18684359939923,82.57638092833467
