rank,rerisk,hold,cap,derisk,override_scale,min_median_delta_terminal,min_pass_rate_terminal,worst_median_delta_maxdd,avg_median_delta_terminal,avg_median_delta_sharpe,full_delta_terminal,full_candidate_terminal,full_candidate_sharpe,full_candidate_maxdd
38,0.08,0.46,0.03,0.14,1.25,0.04924656058507182,1.0,-0.0074573327804842715,0.08526304622219182,-0.005925096646014612,5.931684962718435,26.00572566785506,1.0754632863973725,-0.22169464928102245
39,0.1,0.46,0.03,0.14,1.25,0.04924656058507182,1.0,-0.0074573327804842715,0.08526304622219182,-0.005925096646014612,5.931684962718435,26.00572566785506,1.0754632863973725,-0.22169464928102245
40,0.06,0.48,0.03,0.14,1.25,0.049077962855802126,1.0,-0.00745733278048466,0.0855515238064572,-0.010894231375584892,6.073251744035016,26.14729244917164,1.0757594860300856,-0.22169464928102234
41,0.08,0.48,0.03,0.14,1.25,0.049077962855802126,1.0,-0.00745733278048466,0.0855515238064572,-0.010894231375584892,6.073251744035016,26.14729244917164,1.0757594860300856,-0.22169464928102234
42,0.1,0.48,0.03,0.14,1.25,0.049077962855802126,1.0,-0.00745733278048466,0.0855515238064572,-0.010894231375584892,6.073251744035016,26.14729244917164,1.0757594860300856,-0.22169464928102234
43,0.06,0.5,0.03,0.14,1.25,0.04890615642075813,1.0,-0.007457332780484716,0.0855892761284668,-0.0160443275654741,6.215321231457882,26.289361936594506,1.075993750453923,-0.22169464928102334
44,0.08,0.5,0.03,0.14,1.25,0.04890615642075813,1.0,-0.007457332780484716,0.0855892761284668,-0.0160443275654741,6.215321231457882,26.289361936594506,1.075993750453923,-0.22169464928102334
45,0.1,0.5,0.03,0.14,1.25,0.04890615642075813,1.0,-0.007457332780484716,0.0855892761284668,-0.0160443275654741,6.215321231457882,26.289361936594506,1.075993750453923,-0.22169464928102334
46,0.06,0.46,0.03,0.14,1.2,0.043768010931305446,1.0,-0.007210345664185214,0.07543676772496251,-0.011865829426160138,5.099490727529091,25.173531432665715,1.0775939440685858,-0.2190154619798288
47,0.08,0.46,0.03,0.14,1.2,0.043768010931305446,1.0,-0.007210345664185214,0.07543676772496251,-0.011865829426160138,5.099490727529091,25.173531432665715,1.0775939440685858,-0.2190154619798288
