rank,rerisk,hold,cap,derisk,override_scale,min_median_delta_terminal,min_pass_rate_terminal,worst_median_delta_maxdd,worst_fold_maxdd,avg_median_delta_terminal,avg_median_delta_sharpe,full_delta_terminal,full_candidate_terminal,full_candidate_sharpe,full_candidate_maxdd
37,0.0,0.35,0.02,0.28,0.9,0.006245584598264076,0.75,-0.01897711405809982,-0.166460815633087,0.15823483137858396,0.15676906637007176,34.22592105627667,82.4175280619323,1.0654676541023864,-0.3540833746345564
38,0.01,0.35,0.02,0.28,0.9,0.006245584598264076,0.75,-0.01897711405809982,-0.166460815633087,0.15823483137858396,0.15676906637007176,34.22592105627667,82.4175280619323,1.0654676541023864,-0.3540833746345564
39,0.02,0.35,0.02,0.28,0.9,0.006245584598264076,0.75,-0.01897711405809982,-0.166460815633087,0.15823483137858396,0.15676906637007176,34.22592105627667,82.4175280619323,1.0654676541023864,-0.3540833746345564
40,0.0,0.35,0.02,0.36,0.7,0.00229437954221412,0.5,-0.03946071986854066,-0.18373298884684108,0.2854430537513972,0.12513477982310642,71.33210732187149,119.52371432752713,1.0148092895775993,-0.42922879538085834
41,0.01,0.35,0.02,0.36,0.7,0.00229437954221412,0.5,-0.03946071986854066,-0.18373298884684108,0.2854430537513972,0.12513477982310642,71.33210732187149,119.52371432752713,1.0148092895775993,-0.42922879538085834
42,0.02,0.35,0.02,0.36,0.7,0.00229437954221412,0.5,-0.03946071986854066,-0.18373298884684108,0.2854430537513972,0.12513477982310642,71.33210732187149,119.52371432752713,1.0148092895775993,-0.42922879538085834
43,0.0,0.3,0.02,0.28,0.9,-0.00010979658919163526,0.5,-0.018977114058100486,-0.1642477140793217,0.15151667984400682,0.15747249730693424,33.100230056716505,81.29183706237214,1.0635609036714342,-0.3546040016340404
44,0.01,0.3,0.02,0.28,0.9,-0.00010979658919163526,0.5,-0.018977114058100486,-0.1642477140793217,0.15151667984400682,0.15747249730693424,33.100230056716505,81.29183706237214,1.0635609036714342,-0.3546040016340404
45,0.02,0.3,0.02,0.28,0.9,-0.00010979658919163526,0.5,-0.018977114058100486,-0.1642477140793217,0.15151667984400682,0.15747249730693424,33.100230056716505,81.29183706237214,1.0635609036714342,-0.3546040016340404
46,0.0,0.3,0.02,0.36,0.7,-0.0044173789165931066,0.5,-0.038401879254849725,-0.18161530761945854,0.27781960645416537,0.1236363497879083,69.62244998721334,117.81405699286897,1.0128100110884057,-0.4297002648450411
47,0.01,0.3,0.02,0.36,0.7,-0.0044173789165931066,0.5,-0.038401879254849725,-0.18161530761945854,0.27781960645416537,0.1236363497879083,69.62244998721334,117.81405699286897,1.0128100110884057,-0.4297002648450411
48,0.02,0.3,0.02,0.36,0.7,-0.0044173789165931066,0.5,-0.038401879254849725,-0.18161530761945854,0.27781960645416537,0.1236363497879083,69.62244998721334,117.81405699286897,1.0128100110884057,-0.4297002648450411
49,0.0,0.25,0.02,0.28,0.9,-0.0066957548586814575,0.5,-0.01897711405809982,-0.16206246221859044,0.14449849429046446,0.15580846629647466,31.95318629693859,80.14479330259422,1.0613507443325012,-0.35513242295832026
50,0.01,0.25,0.02,0.28,0.9,-0.0066957548586814575,0.5,-0.01897711405809982,-0.16206246221859044,0.14449849429046446,0.15580846629647466,31.95318629693859,80.14479330259422,1.0613507443325012,-0.35513242295832026
