rank,stress_cap,derisk_cap,panic_cap,overall_scale,derisk_scale,panic_scale,min_median_terminal,min_pass_rate_terminal,avg_full_terminal,avg_full_sharpe,worst_fold_maxdd,worst_stress_maxdd,full_candidate_maxdd,fold_margin,stress_margin,full_margin,min_margin,wealth_dd_ratio
20,0.2,0.34,0.08,1.1,1.1,1.0,1.9624527582412181,1.0,43.37829094013267,1.0190722751393146,-0.1307404243944823,-0.29222967877249784,-0.3024751048995653,0.0892595756055177,-0.026229678772497822,-0.03147510489956529,-0.03147510489956529,143.41111131951214
21,0.2,0.34,0.08,1.1,1.1,1.15,1.9624527582412181,1.0,43.37829094013267,1.0190722751393146,-0.1307404243944823,-0.29222967877249784,-0.3024751048995653,0.0892595756055177,-0.026229678772497822,-0.03147510489956529,-0.03147510489956529,143.41111131951214
22,0.2,0.34,0.1,1.1,1.1,0.85,1.9624527582412181,1.0,43.37829094013267,1.0190722751393146,-0.1307404243944823,-0.29222967877249784,-0.3024751048995653,0.0892595756055177,-0.026229678772497822,-0.03147510489956529,-0.03147510489956529,143.41111131951214
23,0.2,0.34,0.1,1.1,1.1,1.0,1.9624527582412181,1.0,43.37829094013267,1.0190722751393146,-0.1307404243944823,-0.29222967877249784,-0.3024751048995653,0.0892595756055177,-0.026229678772497822,-0.03147510489956529,-0.03147510489956529,143.41111131951214
24,0.2,0.34,0.1,1.1,1.1,1.15,1.9624527582412181,1.0,43.37829094013267,1.0190722751393146,-0.1307404243944823,-0.29222967877249784,-0.3024751048995653,0.0892595756055177,-0.026229678772497822,-0.03147510489956529,-0.03147510489956529,143.41111131951214
25,0.2,0.34,0.12,1.1,1.1,0.85,1.9624527582412181,1.0,43.37829094013267,1.0190722751393146,-0.1307404243944823,-0.29222967877249784,-0.3024751048995653,0.0892595756055177,-0.026229678772497822,-0.03147510489956529,-0.03147510489956529,143.41111131951214
26,0.2,0.34,0.12,1.1,1.1,1.0,1.9624527582412181,1.0,43.37829094013267,1.0190722751393146,-0.1307404243944823,-0.29222967877249784,-0.3024751048995653,0.0892595756055177,-0.026229678772497822,-0.03147510489956529,-0.03147510489956529,143.41111131951214
27,0.2,0.34,0.12,1.1,1.1,1.15,1.9624527582412181,1.0,43.37829094013267,1.0190722751393146,-0.1307404243944823,-0.29222967877249784,-0.3024751048995653,0.0892595756055177,-0.026229678772497822,-0.03147510489956529,-0.03147510489956529,143.41111131951214
28,0.2,0.34,0.14,1.1,1.1,0.85,1.9624527582412181,1.0,43.37829094013267,1.0190722751393146,-0.1307404243944823,-0.29222967877249784,-0.3024751048995653,0.0892595756055177,-0.026229678772497822,-0.03147510489956529,-0.03147510489956529,143.41111131951214
29,0.2,0.34,0.14,1.1,1.1,1.0,1.9624527582412181,1.0,43.37829094013267,1.0190722751393146,-0.1307404243944823,-0.29222967877249784,-0.3024751048995653,0.0892595756055177,-0.026229678772497822,-0.03147510489956529,-0.03147510489956529,143.41111131951214
30,0.2,0.34,0.14,1.1,1.1,1.15,1.9624527582412181,1.0,43.37829094013267,1.0190722751393146,-0.1307404243944823,-0.29222967877249784,-0.3024751048995653,0.0892595756055177,-0.026229678772497822,-0.03147510489956529,-0.03147510489956529,143.41111131951214
31,0.2,0.34,0.16,1.1,1.1,0.85,1.9624527582412181,1.0,43.37829094013267,1.0190722751393146,-0.1307404243944823,-0.29222967877249784,-0.3024751048995653,0.0892595756055177,-0.026229678772497822,-0.03147510489956529,-0.03147510489956529,143.41111131951214
32,0.2,0.34,0.16,1.1,1.1,1.0,1.9624527582412181,1.0,43.37829094013267,1.0190722751393146,-0.1307404243944823,-0.29222967877249784,-0.3024751048995653,0.0892595756055177,-0.026229678772497822,-0.03147510489956529,-0.03147510489956529,143.41111131951214
33,0.2,0.34,0.16,1.1,1.1,1.15,1.9624527582412181,1.0,43.37829094013267,1.0190722751393146,-0.1307404243944823,-0.29222967877249784,-0.3024751048995653,0.0892595756055177,-0.026229678772497822,-0.03147510489956529,-0.03147510489956529,143.41111131951214
34,0.2,0.34,0.2,1.1,1.1,0.85,1.9624527582412181,1.0,43.37829094013267,1.0190722751393146,-0.1307404243944823,-0.29222967877249784,-0.3024751048995653,0.0892595756055177,-0.026229678772497822,-0.03147510489956529,-0.03147510489956529,143.41111131951214
35,0.2,0.34,0.2,1.1,1.1,1.0,1.9624527582412181,1.0,43.37829094013267,1.0190722751393146,-0.1307404243944823,-0.29222967877249784,-0.3024751048995653,0.0892595756055177,-0.026229678772497822,-0.03147510489956529,-0.03147510489956529,143.41111131951214
36,0.2,0.34,0.2,1.1,1.1,1.15,1.9624527582412181,1.0,43.37829094013267,1.0190722751393146,-0.1307404243944823,-0.29222967877249784,-0.3024751048995653,0.0892595756055177,-0.026229678772497822,-0.03147510489956529,-0.03147510489956529,143.41111131951214
37,0.18,0.34,0.08,1.1,1.1,0.85,1.9624527582412181,1.0,43.277541513927616,1.0258416790876503,-0.12200842496216247,-0.28077774394434374,-0.3024751048995653,0.09799157503783754,-0.014777743944343724,-0.03147510489956529,-0.03147510489956529,143.07802795306944
38,0.18,0.34,0.08,1.1,1.1,1.0,1.9624527582412181,1.0,43.277541513927616,1.0258416790876503,-0.12200842496216247,-0.28077774394434374,-0.3024751048995653,0.09799157503783754,-0.014777743944343724,-0.03147510489956529,-0.03147510489956529,143.07802795306944
39,0.18,0.34,0.08,1.1,1.1,1.15,1.9624527582412181,1.0,43.277541513927616,1.0258416790876503,-0.12200842496216247,-0.28077774394434374,-0.3024751048995653,0.09799157503783754,-0.014777743944343724,-0.03147510489956529,-0.03147510489956529,143.07802795306944
40,0.18,0.34,0.1,1.1,1.1,0.85,1.9624527582412181,1.0,43.277541513927616,1.0258416790876503,-0.12200842496216247,-0.28077774394434374,-0.3024751048995653,0.09799157503783754,-0.014777743944343724,-0.03147510489956529,-0.03147510489956529,143.07802795306944
41,0.18,0.34,0.1,1.1,1.1,1.0,1.9624527582412181,1.0,43.277541513927616,1.0258416790876503,-0.12200842496216247,-0.28077774394434374,-0.3024751048995653,0.09799157503783754,-0.014777743944343724,-0.03147510489956529,-0.03147510489956529,143.07802795306944
42,0.18,0.34,0.1,1.1,1.1,1.15,1.9624527582412181,1.0,43.277541513927616,1.0258416790876503,-0.12200842496216247,-0.28077774394434374,-0.3024751048995653,0.09799157503783754,-0.014777743944343724,-0.03147510489956529,-0.03147510489956529,143.07802795306944
