rank,stress_cap,derisk_cap,panic_cap,overall_scale,risk_on_scale,derisk_scale,panic_scale,min_median_terminal,min_pass_rate_terminal,avg_full_terminal,avg_full_sharpe,worst_fold_maxdd,worst_stress_maxdd,full_candidate_maxdd,fold_margin,stress_margin,full_margin,min_margin,wealth_dd_ratio
343,0.15,0.38,0.07,1.01,1.06,1.0,0.85,1.648471961388871,1.0,26.516679308398018,1.0282304519272523,-0.10326269653748532,-0.2372384369510676,-0.2675843076856803,0.11673730346251468,0.028761563048932404,0.003415692314319707,0.003415692314319707,99.09654096587013
344,0.15,0.38,0.07,1.01,1.06,1.0,0.87,1.648471961388871,1.0,26.516679308398018,1.0282304519272523,-0.10326269653748532,-0.2372384369510676,-0.2675843076856803,0.11673730346251468,0.028761563048932404,0.003415692314319707,0.003415692314319707,99.09654096587013
345,0.15,0.38,0.06,0.99,1.02,1.01,0.8,1.6514030028917084,1.0,26.507945424970114,1.0385445155934308,-0.10323638436225291,-0.23764912594999454,-0.2659462221618307,0.11676361563774709,0.02835087405000547,0.005053777838169293,0.005053777838169293,99.67408150975645
346,0.15,0.38,0.06,0.99,1.02,1.01,0.83,1.6514030028917084,1.0,26.507945424970114,1.0385445155934308,-0.10323638436225291,-0.23764912594999454,-0.2659462221618307,0.11676361563774709,0.02835087405000547,0.005053777838169293,0.005053777838169293,99.67408150975645
347,0.15,0.38,0.06,0.99,1.02,1.01,0.85,1.6514030028917084,1.0,26.507945424970114,1.0385445155934308,-0.10323638436225291,-0.23764912594999454,-0.2659462221618307,0.11676361563774709,0.02835087405000547,0.005053777838169293,0.005053777838169293,99.67408150975645
348,0.15,0.38,0.06,0.99,1.02,1.01,0.87,1.6514030028917084,1.0,26.507945424970114,1.0385445155934308,-0.10323638436225291,-0.23764912594999454,-0.2659462221618307,0.11676361563774709,0.02835087405000547,0.005053777838169293,0.005053777838169293,99.67408150975645
349,0.15,0.38,0.07,0.99,1.02,1.01,0.8,1.6514030028917084,1.0,26.507945424970114,1.0385445155934308,-0.10323638436225291,-0.23764912594999454,-0.2659462221618307,0.11676361563774709,0.02835087405000547,0.005053777838169293,0.005053777838169293,99.67408150975645
350,0.15,0.38,0.07,0.99,1.02,1.01,0.83,1.6514030028917084,1.0,26.507945424970114,1.0385445155934308,-0.10323638436225291,-0.23764912594999454,-0.2659462221618307,0.11676361563774709,0.02835087405000547,0.005053777838169293,0.005053777838169293,99.67408150975645
351,0.15,0.38,0.07,0.99,1.02,1.01,0.85,1.6514030028917084,1.0,26.507945424970114,1.0385445155934308,-0.10323638436225291,-0.23764912594999454,-0.2659462221618307,0.11676361563774709,0.02835087405000547,0.005053777838169293,0.005053777838169293,99.67408150975645
352,0.15,0.38,0.07,0.99,1.02,1.01,0.87,1.6514030028917084,1.0,26.507945424970114,1.0385445155934308,-0.10323638436225291,-0.23764912594999454,-0.2659462221618307,0.11676361563774709,0.02835087405000547,0.005053777838169293,0.005053777838169293,99.67408150975645
