rank,rerisk,hold,cap,derisk,override_scale,min_median_delta_terminal,min_pass_rate_terminal,worst_median_delta_maxdd,worst_fold_maxdd,avg_median_delta_terminal,avg_median_delta_sharpe,worst_stress_maxdd,full_delta_terminal,full_candidate_terminal,full_candidate_sharpe,full_candidate_maxdd
36,0.06,0.4,0.03,0.18,1.2,-0.002093090845444734,0.5,-0.003228597737924277,-0.14949144213742127,0.009992856588947762,0.07339102520530025,-0.2944613722000845,3.2180073088948618,51.409614314550495,1.0561147705333602,-0.3020214734391887
37,0.02,0.44,0.03,0.2,1.05,-0.007147701091212211,0.5,-0.002943811307935973,-0.150661056878169,0.030558156463360117,0.07606311275768401,-0.2993139199948093,5.94218083471317,54.133787840368804,1.079088935521087,-0.2993139199948087
38,0.04,0.44,0.03,0.2,1.05,-0.007147701091212211,0.5,-0.002943811307935973,-0.150661056878169,0.030558156463360117,0.07606311275768401,-0.2993139199948093,5.94218083471317,54.133787840368804,1.079088935521087,-0.2993139199948087
39,0.06,0.44,0.03,0.2,1.05,-0.007147701091212211,0.5,-0.002943811307935973,-0.150661056878169,0.030558156463360117,0.07606311275768401,-0.2993139199948093,5.94218083471317,54.133787840368804,1.079088935521087,-0.2993139199948087
40,0.02,0.42,0.03,0.2,1.05,-0.00977414603563087,0.25,-0.002930427246725764,-0.1497569377623844,0.028035928686914378,0.07889957868006418,-0.2993139199948085,5.648030940290916,53.83963794594655,1.0785374601441313,-0.29931391999480794
41,0.04,0.42,0.03,0.2,1.05,-0.00977414603563087,0.25,-0.002930427246725764,-0.1497569377623844,0.028035928686914378,0.07889957868006418,-0.2993139199948085,5.648030940290916,53.83963794594655,1.0785374601441313,-0.29931391999480794
42,0.06,0.42,0.03,0.2,1.05,-0.00977414603563087,0.25,-0.002930427246725764,-0.1497569377623844,0.028035928686914378,0.07889957868006418,-0.2993139199948085,5.648030940290916,53.83963794594655,1.0785374601441313,-0.29931391999480794
43,0.02,0.4,0.03,0.2,1.05,-0.012400862518218814,0.25,-0.002930427246725764,-0.148852399205312,0.025514059956492068,0.08079577469816769,-0.2993139199948086,5.35493338412229,53.546540389777924,1.0779434416384746,-0.2993139199948087
44,0.04,0.4,0.03,0.2,1.05,-0.012400862518218814,0.25,-0.002930427246725764,-0.148852399205312,0.025514059956492068,0.08079577469816769,-0.2993139199948086,5.35493338412229,53.546540389777924,1.0779434416384746,-0.2993139199948087
45,0.06,0.4,0.03,0.2,1.05,-0.012400862518218814,0.25,-0.002930427246725764,-0.148852399205312,0.025514059956492068,0.08079577469816769,-0.2993139199948086,5.35493338412229,53.546540389777924,1.0779434416384746,-0.2993139199948087
