rank,rerisk,hold,cap,derisk,override_scale,min_median_delta_terminal,min_pass_rate_terminal,worst_median_delta_maxdd,worst_fold_maxdd,avg_median_delta_terminal,avg_median_delta_sharpe,full_delta_terminal,full_candidate_terminal,full_candidate_sharpe,full_candidate_maxdd
16,0.04,0.42,0.03,0.18,1.25,0.10889900639350303,1.0,-0.00612155082928284,-0.1384531604003747,0.11261980760771127,0.08504980992433477,13.839814924920965,45.89499436236656,1.081247061665408,-0.27551559774857703
17,0.06,0.42,0.03,0.18,1.25,0.10889900639350303,1.0,-0.00612155082928284,-0.1384531604003747,0.11261980760771127,0.08504980992433477,13.839814924920965,45.89499436236656,1.081247061665408,-0.27551559774857703
18,0.08,0.42,0.03,0.18,1.25,0.10889900639350303,1.0,-0.00612155082928284,-0.1384531604003747,0.11261980760771127,0.08504980992433477,13.839814924920965,45.89499436236656,1.081247061665408,-0.27551559774857703
19,0.04,0.46,0.03,0.18,1.2,0.09967340003339209,1.0,-0.005771650816197349,-0.13835838693997893,0.1017723730086161,0.06870846175023948,12.609615542189978,44.66479497963557,1.0843535022827229,-0.2724085600632554
20,0.06,0.46,0.03,0.18,1.2,0.09967340003339209,1.0,-0.005771650816197349,-0.13835838693997893,0.1017723730086161,0.06870846175023948,12.609615542189978,44.66479497963557,1.0843535022827229,-0.2724085600632554
21,0.08,0.46,0.03,0.18,1.2,0.09967340003339209,1.0,-0.005771650816197349,-0.13835838693997893,0.1017723730086161,0.06870846175023948,12.609615542189978,44.66479497963557,1.0843535022827229,-0.2724085600632554
22,0.04,0.44,0.03,0.18,1.2,0.09964858319254954,1.0,-0.005615272624168222,-0.13744409566091798,0.10117728743429438,0.07351994635619279,12.367372721856725,44.42255215930232,1.0838806463350765,-0.2724085600632554
23,0.06,0.44,0.03,0.18,1.2,0.09964858319254954,1.0,-0.005615272624168222,-0.13744409566091798,0.10117728743429438,0.07351994635619279,12.367372721856725,44.42255215930232,1.0838806463350765,-0.2724085600632554
24,0.08,0.44,0.03,0.18,1.2,0.09964858319254954,1.0,-0.005615272624168222,-0.13744409566091798,0.10117728743429438,0.07351994635619279,12.367372721856725,44.42255215930232,1.0838806463350765,-0.2724085600632554
25,0.04,0.42,0.03,0.18,1.2,0.09961995032695126,1.0,-0.005458879667109062,-0.13652938574064033,0.1005793609851488,0.07817558579173291,12.125993286960274,44.18117272440587,1.083360243312722,-0.27240856006325564
26,0.06,0.42,0.03,0.18,1.2,0.09961995032695126,1.0,-0.005458879667109062,-0.13652938574064033,0.1005793609851488,0.07817558579173291,12.125993286960274,44.18117272440587,1.083360243312722,-0.27240856006325564
27,0.08,0.42,0.03,0.18,1.2,0.09961995032695126,1.0,-0.005458879667109062,-0.13652938574064033,0.1005793609851488,0.07817558579173291,12.125993286960274,44.18117272440587,1.083360243312722,-0.27240856006325564
28,0.04,0.46,0.03,0.18,1.1,0.07150736644190536,1.0,-0.0044457397651750385,-0.13450873544200348,0.07789139519292498,0.05449326105020754,9.321798383329984,41.37697782077558,1.087512526715805,-0.2661769588218177
29,0.06,0.46,0.03,0.18,1.1,0.07150736644190536,1.0,-0.0044457397651750385,-0.13450873544200348,0.07789139519292498,0.05449326105020754,9.321798383329984,41.37697782077558,1.087512526715805,-0.2661769588218177
30,0.08,0.46,0.03,0.18,1.1,0.07150736644190536,1.0,-0.0044457397651750385,-0.13450873544200348,0.07789139519292498,0.05449326105020754,9.321798383329984,41.37697782077558,1.087512526715805,-0.2661769588218177
31,0.04,0.44,0.03,0.18,1.1,0.07034298872179867,1.0,-0.004289066117704021,-0.1335903592827108,0.07730450444432053,0.059571444132910156,9.097387282624133,41.15256672006973,1.0870591334922666,-0.26617695882181724
32,0.06,0.44,0.03,0.18,1.1,0.07034298872179867,1.0,-0.004289066117704021,-0.1335903592827108,0.07730450444432053,0.059571444132910156,9.097387282624133,41.15256672006973,1.0870591334922666,-0.26617695882181724
33,0.08,0.44,0.03,0.18,1.1,0.07034298872179867,1.0,-0.004289066117704021,-0.1335903592827108,0.07730450444432053,0.059571444132910156,9.097387282624133,41.15256672006973,1.0870591334922666,-0.26617695882181724
34,0.04,0.42,0.03,0.18,1.1,0.06917728758106023,1.0,-0.004132377677305843,-0.13267156261179203,0.07671480450007645,0.0645642234948028,8.873776012749161,40.928955450194756,1.0865557957215517,-0.2661769588218167
35,0.06,0.42,0.03,0.18,1.1,0.06917728758106023,1.0,-0.004132377677305843,-0.13267156261179203,0.07671480450007645,0.0645642234948028,8.873776012749161,40.928955450194756,1.0865557957215517,-0.2661769588218167
36,0.08,0.42,0.03,0.18,1.1,0.06917728758106023,1.0,-0.004132377677305843,-0.13267156261179203,0.07671480450007645,0.0645642234948028,8.873776012749161,40.928955450194756,1.0865557957215517,-0.2661769588218167
37,0.04,0.42,0.03,0.16,1.3,0.05272990128409549,1.0,-0.004302937318804878,-0.1334831639026547,0.0663923472381109,0.05815936503960741,7.654908084233675,39.71008752167927,1.069238394791767,-0.26131621661909654
38,0.06,0.42,0.03,0.16,1.3,0.05272990128409549,1.0,-0.004302937318804878,-0.1334831639026547,0.0663923472381109,0.05815936503960741,7.654908084233675,39.71008752167927,1.069238394791767,-0.26131621661909654
39,0.08,0.42,0.03,0.16,1.3,0.05272990128409549,1.0,-0.004302937318804878,-0.1334831639026547,0.0663923472381109,0.05815936503960741,7.654908084233675,39.71008752167927,1.069238394791767,-0.26131621661909654
40,0.04,0.44,0.03,0.16,1.3,0.0513315785346371,1.0,-0.0046214165481591185,-0.13440109684710277,0.06685844387400114,0.054599535621385,7.871875617198128,39.92705505464372,1.069765991763469,-0.2613162166190959
41,0.06,0.44,0.03,0.16,1.3,0.0513315785346371,1.0,-0.0046214165481591185,-0.13440109684710277,0.06685844387400114,0.054599535621385,7.871875617198128,39.92705505464372,1.069765991763469,-0.2613162166190959
42,0.08,0.44,0.03,0.16,1.3,0.0513315785346371,1.0,-0.0046214165481591185,-0.13440109684710277,0.06685844387400114,0.054599535621385,7.871875617198128,39.92705505464372,1.069765991763469,-0.2613162166190959
43,0.04,0.46,0.03,0.16,1.3,0.04992891363470686,1.0,-0.004939862104166415,-0.13531860968175602,0.06732148693784624,0.05087079752971787,8.089619328613644,40.14479876605924,1.0702451888715914,-0.2613162166190969
44,0.06,0.46,0.03,0.16,1.3,0.04992891363470686,1.0,-0.004939862104166415,-0.13531860968175602,0.06732148693784624,0.05087079752971787,8.089619328613644,40.14479876605924,1.0702451888715914,-0.2613162166190969
45,0.08,0.46,0.03,0.16,1.3,0.04992891363470686,1.0,-0.004939862104166415,-0.13531860968175602,0.06732148693784624,0.05087079752971787,8.089619328613644,40.14479876605924,1.0702451888715914,-0.2613162166190969
46,0.04,0.42,0.03,0.16,1.25,0.04407020580353693,1.0,-0.0034064234524103787,-0.13153720594252893,0.055323174936480035,0.05154015583379129,6.271451516309618,38.32663095375521,1.0729069941545817,-0.25798238048606603
47,0.06,0.42,0.03,0.16,1.25,0.04407020580353693,1.0,-0.0034064234524103787,-0.13153720594252893,0.055323174936480035,0.05154015583379129,6.271451516309618,38.32663095375521,1.0729069941545817,-0.25798238048606603
48,0.08,0.42,0.03,0.16,1.25,0.04407020580353693,1.0,-0.0034064234524103787,-0.13153720594252893,0.055323174936480035,0.05154015583379129,6.271451516309618,38.32663095375521,1.0729069941545817,-0.25798238048606603
49,0.04,0.44,0.03,0.16,1.25,0.04314447689902279,1.0,-0.0037252052715950335,-0.13245720031134411,0.055941834084843524,0.04796124997356734,6.480860134719997,38.53603957216559,1.0734231009479491,-0.2579823804860666
50,0.06,0.44,0.03,0.16,1.25,0.04314447689902279,1.0,-0.0037252052715950335,-0.13245720031134411,0.055941834084843524,0.04796124997356734,6.480860134719997,38.53603957216559,1.0734231009479491,-0.2579823804860666
51,0.08,0.44,0.03,0.16,1.25,0.04314447689902279,1.0,-0.0037252052715950335,-0.13245720031134411,0.055941834084843524,0.04796124997356734,6.480860134719997,38.53603957216559,1.0734231009479491,-0.2579823804860666
52,0.04,0.46,0.03,0.16,1.25,0.04174858177032248,1.0,-0.004043953385438226,-0.13337677362691314,0.05640085341870928,0.04420372232211358,6.691017890362559,38.746197327808154,1.073889365625386,-0.2579823804860656
53,0.06,0.46,0.03,0.16,1.25,0.04174858177032248,1.0,-0.004043953385438226,-0.13337677362691314,0.05640085341870928,0.04420372232211358,6.691017890362559,38.746197327808154,1.073889365625386,-0.2579823804860656
54,0.08,0.46,0.03,0.16,1.25,0.04174858177032248,1.0,-0.004043953385438226,-0.13337677362691314,0.05640085341870928,0.04420372232211358,6.691017890362559,38.746197327808154,1.073889365625386,-0.2579823804860656
55,0.04,0.42,0.03,0.16,1.2,0.03534522975105614,1.0,-0.002536256731312636,-0.12959021483485889,0.04415565939741545,0.0441842062079178,4.910152750488628,36.96533218793422,1.0761245988404984,-0.2547698150886232
56,0.06,0.42,0.03,0.16,1.2,0.03534522975105614,1.0,-0.002536256731312636,-0.12959021483485889,0.04415565939741545,0.0441842062079178,4.910152750488628,36.96533218793422,1.0761245988404984,-0.2547698150886232
57,0.08,0.42,0.03,0.16,1.2,0.03534522975105614,1.0,-0.002536256731312636,-0.12959021483485889,0.04415565939741545,0.0441842062079178,4.910152750488628,36.96533218793422,1.0761245988404984,-0.2547698150886232
